...1,S_ID,session,Run,block,trial,StimType,OrderCond,Name,NameFreq,RespOrder,NameFoil1,NameFoil2,NameDistractor1,NameDistractor2,DistractorNameFreq1,DistractorNameFreq2,Accuracy,Foil,Distractor,RT,RTonset,rpress,lpress,Confidence,ConfidenceRT,rConf
1,1,1,1,1,1,1,5,TRISTAN,250,7,LYNDON,JEROME,ANGUS,ZACHARY,247,574,1,NA,NA,2.86420340000041,1.0377232000028,2,0,4,0.915612299999339,4
2,1,1,1,1,2,1,2,CHANICE,37,1,AMINA,AMBER,KEISHA,FARHANA,37,46,1,NA,NA,5.07948290000058,2.83609559999604,4,1,2,0.977587400004268,2
3,1,1,1,1,3,1,5,LYNDON,37,11,ASHLEY,JACOB,SOREN,TRENT,37,10,1,NA,NA,2.80382919999829,1.1238474999991,3,0,3,0.922771400000784,3
4,1,1,1,1,4,1,6,AMBER,1422,12,JULIET,ANTONIA,GRACE,FAITH,1421,116,1,NA,NA,6.1335293000011,2.95457609999721,2,3,2,1.07496009999886,2
5,1,1,1,1,5,1,2,AMINA,151,5,AMBER,CARRIE,ELIZA,CANDICE,147,66,1,NA,NA,1.50004729999637,0.029072700002871,0,0,4,1.32054079999943,4
6,1,1,1,1,6,1,5,JEROME,135,9,CONRAD,ASHLEY,ARTHUR,DAYLE,129,30,NA,NA,NA,NA,NA,3,5,1,0.228145799999766,1
7,1,1,1,1,7,1,5,CONRAD,39,3,JACOB,EDWIN,LEONARD,BRADY,39,32,1,NA,NA,4.9985014000049,0.0270640000017011,0,0,2,0.830339300002379,2
8,1,1,1,1,8,1,8,CARRIE,97,15,CLARE,JESSICA,EMILIE,HELENA,96,308,1,NA,NA,4.89871449999919,3.35644719999982,2,1,2,1.26335029999609,2
9,1,1,1,1,9,1,3,FLYNN,20,2,TRISTAN,LYNDON,GRAEME,JASON,20,1001,1,NA,NA,3.92553369999951,1.81864500000665,1,1,2,0.841275400001905,2
10,1,1,1,1,10,1,8,CLARE,216,13,ANTONIA,AMINA,CASEY,BROOKE,215,269,1,NA,NA,3.57087580000371,1.52430209999875,3,0,2,0.925162999999884,2
11,1,1,1,1,11,1,1,JACOB,2249,16,EDWIN,FLYNN,CHARLIE,GETHIN,1912,38,1,NA,NA,2.00268140000117,0.77267330000177,3,0,4,1.48366079999687,4
12,1,1,1,1,12,1,6,JESSICA,6711,6,CHANICE,JULIET,EMILY,PENNY,6415,81,1,NA,NA,1.55174320000515,0.617939399999159,0,1,4,1.01143049999519,4
13,1,1,1,1,13,1,1,EDWIN,48,10,JEROME,TRISTAN,GILES,JARED,47,158,1,NA,NA,1.88299379999808,0.332822799995483,0,1,3,0.643750199997157,3
14,1,1,1,1,14,1,7,ASHLEY,1874,4,FLYNN,CONRAD,REECE,EAMON,1811,24,1,NA,NA,2.4177159000028,0.845959400001448,1,0,4,1.4450205999965,4
15,1,1,1,1,15,1,4,ANTONIA,234,14,CARRIE,CHANICE,ESTHER,WILLOW,231,1536,1,NA,NA,1.156281699994,0.306413700003759,0,1,4,0.953170600005251,4
16,1,1,1,1,16,1,4,JULIET,57,8,JESSICA,CLARE,KAITLIN,KEELEY,57,209,1,NA,NA,2.73119930000394,1.03771170000255,2,0,4,1.10417910000251,4
17,1,1,1,2,1,1,7,DILLON,174,8,AINSLEY,CIARAN,FRANCIS,LUCIEN,172,16,0,1,0,3.25967310000124,1.15868559999944,2,0,1,0.529784500002279,1
18,1,1,1,2,2,1,3,REUBEN,160,6,HECTOR,HAMZA,JARED,LEONARD,158,39,0,1,0,3.99152340000001,0.544371699994372,1,0,1,0.654315599997062,1
19,1,1,1,2,3,1,8,ELLIE,1900,14,PRIYA,PALOMA,"NATASHA",ROBYN,1751,683,1,NA,NA,4.34246660000645,1.96359549999761,1,0,1,0.513718200003495,1
20,1,1,1,2,4,1,5,KAINE,79,15,REUBEN,ARONAS,TERRY,SHELDON,79,52,0,1,0,4.76241659999505,1.38557980000041,1,0,1,0.563994399999501,1
21,1,1,1,2,5,1,7,HAMZA,220,3,CIARAN,HECTOR,ANTONY,ARCHIE,217,169,1,NA,NA,2.76815840000199,1.23141799999576,0,1,3,0.671157900003891,3
22,1,1,1,2,6,1,4,BONNIE,95,9,JAZMIN,TALIA,WHITNEY,MARNIE,95,41,1,NA,NA,1.82276339999953,0.564060199998494,0,1,4,1.02203320000262,4
23,1,1,1,2,7,1,8,HAYLEY,1088,4,PALOMA,LAUREN,HARRIET,MARYAM,1046,176,0,1,0,5.57093899999745,2.79932489999919,4,1,1,0.75377390000358,1
