S_ID,Run,StimType,blocks_1,blocks_2,blocks_3,blocks_4,blocks_5,blocks_6,stimdur_sec,stimdur_min
1,1,1,1,2,3,4,NA,NA,694.350037600001,11.5725006266667
1,1,1,5,6,7,8,NA,NA,719.338568700005,11.9889761450001
1,1,1,9,10,11,12,NA,NA,673.218657999998,11.2203109666666
1,2,1,2,3,6,7,11,12,627.457719900005,10.4576286650001
1,2,1,1,4,5,8,9,10,542.371917500001,9.03953195833334
1,1,0,1,2,3,4,NA,NA,672.665540300004,11.2110923383334
1,1,0,5,6,7,8,NA,NA,661.867639100004,11.0311273183334
1,1,0,9,10,11,12,NA,NA,633.244342000005,10.5540723666668
1,2,0,2,3,6,7,11,12,471.216817499997,7.85361362499995
1,2,0,1,4,5,8,9,10,520.879920699997,8.68133201166662
2,1,1,1,2,3,4,NA,NA,597.018445000009,9.95030741666681
2,1,1,5,6,7,8,NA,NA,612.836071600002,10.2139345266667
2,1,1,9,10,11,12,NA,NA,578.773756999988,9.64622928333313
2,2,1,2,6,7,8,10,11,324.149006500011,5.40248344166685
2,2,1,1,3,4,5,9,12,389.46788869999,6.49113147833317
2,1,0,1,2,3,4,NA,NA,592.377240699992,9.87295401166654
2,1,0,5,6,7,8,NA,NA,568.190864300006,9.46984773833343
2,1,0,9,10,11,12,NA,NA,546.602289700008,9.11003816166679
2,2,0,2,6,7,8,10,11,324.278314900002,5.40463858166671
2,2,0,1,3,4,5,9,12,319.736762100001,5.32894603500002
3,1,1,1,2,3,4,NA,NA,683.7062773,11.3951046216667
3,1,1,5,6,7,8,NA,NA,673.509734400001,11.22516224
3,1,1,9,10,11,12,NA,NA,667.018397600001,11.1169732933333
3,2,1,1,2,3,4,5,9,458.3885133,7.63980855500001
3,2,1,6,7,8,10,11,12,427.815743200001,7.13026238666668
3,1,0,1,2,3,4,NA,NA,655.349598000001,10.9224933
3,1,0,5,6,7,8,NA,NA,648.367836100049,10.8061306016675
3,1,0,9,10,11,12,NA,NA,625.540380099963,10.425673001666
3,2,0,1,2,3,4,5,9,439.213130599994,7.32021884333323
3,2,0,6,7,8,10,11,12,453.107461599982,7.55179102666637
4,1,1,1,2,3,4,NA,NA,634.360526600001,10.5726754433334
4,1,1,5,6,7,8,NA,NA,636.308015900002,10.6051335983334
4,1,1,9,10,11,12,NA,NA,621.729631599999,10.3621605266667
4,2,1,2,6,7,8,10,11,427.283403000001,7.12139005000002
4,2,1,1,3,4,5,9,12,457.544243400003,7.62573739000006
4,1,0,1,2,3,4,NA,NA,574.214713599999,9.57024522666664
4,1,0,5,6,7,8,NA,NA,586.603687400057,9.77672812333427
4,1,0,9,10,11,12,NA,NA,581.468517499976,9.69114195833293
4,2,0,2,6,7,8,10,11,364.393555499963,6.07322592499938
4,2,0,1,3,4,5,9,12,343.317146099987,5.72195243499979
5,1,0,1,2,3,4,NA,NA,726.992154200001,12.1165359033334
5,1,0,5,6,7,8,NA,NA,708.231453099997,11.8038575516666
5,1,0,9,10,11,12,NA,NA,691.412631399999,11.5235438566666
5,2,0,1,3,4,5,10,12,527.634431300001,8.79390718833335
5,2,0,2,6,7,8,9,11,481.908092800004,8.03180154666673
5,1,1,1,2,3,4,NA,NA,639.748411600012,10.6624735266669
5,1,1,5,6,7,8,NA,NA,647.961685900009,10.7993614316668
5,1,1,9,10,11,12,NA,NA,633.520445200003,10.5586740866667
5,2,1,1,3,4,5,10,12,439.383882800001,7.32306471333335
5,2,1,2,6,7,8,9,11,480.923865899997,8.01539776499994
6,1,1,1,2,3,4,NA,NA,690.876453399993,11.5146075566665
6,1,1,5,6,7,8,NA,NA,642.286424899998,10.7047737483333
6,1,1,9,10,11,12,NA,NA,620.219344799989,10.3369890799998
6,2,1,1,3,6,7,10,11,293.380508300004,4.8896751383334
6,2,1,2,4,5,8,9,12,337.050451899995,5.61750753166659
6,1,0,1,2,3,4,NA,NA,681.768722299981,11.362812038333
