SubjectNumber,Session,Stimulation,StimGuess,timePoint2,stimGuessRating,StimGuessRank,WeightedScore
1,2,0,Yes,1,7,1,7
1,2,0,Yes,2,4,1,4
1,2,0,Yes,3,7,1,7
1,2,0,Yes,4,5,1,5
2,1,1,No,1,6,-1,-6
2,1,1,Yes,2,7,1,7
2,1,1,No,3,5,-1,-5
2,1,1,No,4,5,-1,-5
2,2,0,No,1,6,-1,-6
2,2,0,No,2,10,-1,-10
2,2,0,Yes,3,7,1,7
2,2,0,Yes,4,7,1,7
3,1,1,No,1,7,-1,-7
3,1,1,Yes,2,5,1,5
3,1,1,Yes,3,4,1,4
3,1,1,Yes,4,6,1,6
3,2,0,Yes,1,6,1,6
3,2,0,No,2,4,-1,-4
3,2,0,Yes,3,7,1,7
3,2,0,Yes,4,7,1,7
4,1,1,Yes,1,6,1,6
4,1,1,No,2,4,-1,-4
4,1,1,Yes,3,9,1,9
4,1,1,Yes,4,7,1,7
4,2,0,Yes,1,6,1,6
4,2,0,Yes,2,4,1,4
4,2,0,Yes,3,4,1,4
4,2,0,No,4,5,-1,-5
5,1,0,No,1,7,-1,-7
5,1,0,Yes,2,8,1,8
5,1,0,Yes,3,7,1,7
5,1,0,Yes,4,7,1,7
5,2,1,Yes,1,10,1,10
5,2,1,No,2,8,-1,-8
5,2,1,No,3,8,-1,-8
5,2,1,No,4,5,-1,-5
6,1,1,Yes,1,8,1,8
6,1,1,Yes,2,6,1,6
6,1,1,No,3,4,-1,-4
6,1,1,Yes,4,7,1,7
6,2,0,Yes,1,10,1,10
6,2,0,Yes,2,10,1,10
6,2,0,Yes,3,10,1,10
6,2,0,Yes,4,10,1,10
7,1,0,Yes,1,7,1,7
7,1,0,Yes,2,3,1,3
7,1,0,No,3,6,-1,-6
7,1,0,No,4,6,-1,-6
7,2,1,Yes,1,5,1,5
7,2,1,No,2,8,-1,-8
7,2,1,No,3,9,-1,-9
7,2,1,Yes,4,5,1,5
8,1,0,No,1,6,-1,-6
8,1,0,No,2,6,-1,-6
8,1,0,No,3,6,-1,-6
8,1,0,No,4,6,-1,-6
8,2,1,No,1,6,-1,-6
8,2,1,No,2,6,-1,-6
8,2,1,No,3,7,-1,-7
8,2,1,No,4,6,-1,-6
9,1,0,No,1,8,-1,-8
9,1,0,No,2,9,-1,-9
9,1,0,No,3,7,-1,-7
9,1,0,No,4,9,-1,-9
9,2,1,Yes,1,8,1,8
9,2,1,No,2,7,-1,-7
9,2,1,No,3,8,-1,-8
9,2,1,No,4,9,-1,-9
10,1,0,No,1,10,-1,-10
10,1,0,No,2,10,-1,-10
10,1,0,No,3,10,-1,-10
10,1,0,No,4,10,-1,-10
10,2,1,No,1,10,-1,-10
10,2,1,No,2,10,-1,-10
10,2,1,No,3,10,-1,-10
10,2,1,No,4,10,-1,-10
11,1,0,No,1,4,-1,-4
11,1,0,No,2,5,-1,-5
11,1,0,No,3,5,-1,-5
11,1,0,No,4,6,-1,-6
11,2,1,No,1,5,-1,-5
11,2,1,Yes,2,7,1,7
11,2,1,No,3,5,-1,-5
11,2,1,No,4,4,-1,-4
12,1,0,No,1,8,-1,-8
12,1,0,Yes,2,7,1,7
12,1,0,No,3,8,-1,-8
12,1,0,No,4,6,-1,-6
12,2,1,No,1,8,-1,-8
12,2,1,No,2,7,-1,-7
12,2,1,No,3,8,-1,-8
12,2,1,No,4,7,-1,-7
13,1,1,Yes,1,7,1,7
13,1,1,Yes,2,5,1,5
13,1,1,Yes,3,6,1,6
13,1,1,Yes,4,7,1,7
13,2,0,Yes,1,6,1,6
13,2,0,Yes,2,5,1,5
13,2,0,Yes,3,4,1,4
13,2,0,Yes,4,5,1,5
14,1,0,Yes,1,4,1,4
14,1,0,Yes,2,3,1,3
14,1,0,No,3,4,-1,-4
14,1,0,No,4,3,-1,-3
14,2,1,Yes,1,3,1,3
14,2,1,No,2,3,-1,-3
14,2,1,No,3,4,-1,-4
14,2,1,No,4,3,-1,-3
15,1,1,Yes,1,7,1,7
15,1,1,No,2,8,-1,-8
15,1,1,Yes,3,9,1,9
15,1,1,Yes,4,5,1,5
15,2,0,Yes,1,10,1,10
15,2,0,Yes,2,10,1,10
15,2,0,Yes,3,7,1,7
15,2,0,No,4,8,-1,-8
16,1,1,Yes,1,6,1,6
16,1,1,Yes,2,6,1,6
16,1,1,No,3,7,-1,-7
16,1,1,No,4,8,-1,-8
16,2,0,Yes,1,10,1,10
16,2,0,Yes,2,6,1,6
16,2,0,Yes,3,4,1,4
16,2,0,No,4,5,-1,-5
17,1,0,No,1,9,-1,-9
17,1,0,No,2,7,-1,-7
17,1,0,No,3,6,-1,-6
17,1,0,No,4,6,-1,-6
17,2,1,Yes,1,6,1,6
17,2,1,No,2,8,-1,-8
17,2,1,No,3,8,-1,-8
17,2,1,No,4,8,-1,-8
18,1,0,Yes,1,9,1,9
18,1,0,No,2,6,-1,-6
18,1,0,No,3,5,-1,-5
18,1,0,Yes,4,5,1,5
18,2,1,Yes,1,7,1,7
18,2,1,No,2,7,-1,-7
18,2,1,Yes,3,7,1,7
18,2,1,No,4,5,-1,-5
19,1,1,No,1,4,-1,-4
19,1,1,Yes,2,5,1,5
19,1,1,No,3,7,-1,-7
19,1,1,Yes,4,7,1,7
19,2,0,No,1,6,-1,-6
19,2,0,No,2,7,-1,-7
19,2,0,No,3,7,-1,-7
19,2,0,No,4,4,-1,-4
20,1,1,Yes,1,3,1,3
20,1,1,Yes,2,4,1,4
20,1,1,Yes,3,3,1,3
20,1,1,Yes,4,4,1,4
20,2,0,Yes,1,2,1,2
20,2,0,Yes,2,7,1,7
20,2,0,Yes,3,6,1,6
20,2,0,Yes,4,3,1,3
21,1,1,Yes,1,6,1,6
21,1,1,Yes,2,7,1,7
21,1,1,Yes,3,8,1,8
21,1,1,No,4,5,-1,-5
21,2,0,No,1,8,-1,-8
21,2,0,No,2,6,-1,-6
21,2,0,Yes,3,5,1,5
21,2,0,No,4,6,-1,-6
