StimType,recording_time,Fs,type,elect,contact,amp,env_max,env_min,env_amp,mod_ratio,distance,d1_amp,d1_env_max,d1_env_min,d1_env_amp,d1_mod_ratio,mv_env_max,mv_env_amp,mv_env_max_norm,mv_env_amp_norm
TI,25.3952,30000,11,b,15,6648.719905,6648.719905,6153.174309,247.7727976,0.074532482,12,-0.304605528,-0.304605528,-0.301636958,-0.001484285,3.53E-06,6115.66023,245.1752988,1,0.020851374
TI,25.3952,30000,11,b,14,5582.600555,5582.600555,5097.444955,242.5778001,0.086904946,15.5,-0.215450632,-0.215450632,-0.197121495,-0.009164568,-4.42E-07,5790.628647,224.6571394,0.876668609,0.005033241
TI,25.3952,30000,11,b,13,5140.565483,5140.565483,4773.323842,183.6208206,0.071439931,19,-0.10192706,-0.10192706,-0.097815263,-0.002055899,9.75E-07,5197.425724,218.1283766,0.651581123,0
TI,25.3952,30000,11,b,12,4869.111133,4869.111133,4412.738115,228.1865092,0.093728199,22.5,-0.081569049,-0.081569049,-0.128485851,0.023458401,1.15E-05,4859.752918,253.2123184,0.523453092,0.02704738
TI,25.3952,30000,11,b,11,4569.582138,4569.582138,3873.922888,347.8296253,0.152236951,26,-0.074636495,-0.074636495,-0.146624209,0.035993857,1.82E-05,4595.116314,352.0532144,0.423038233,0.103247122
TI,25.3952,30000,11,b,10,4346.655671,4346.655671,3386.368654,480.1435087,0.220925486,29.5,-0.064138676,-0.064138676,-0.136023164,0.035942244,1.98E-05,4345.616406,475.7994891,0.328366908,0.19864725
TI,25.3952,30000,11,b,9,4120.611409,4120.611409,2921.760742,599.4253333,0.290939996,33,-0.05461101,-0.05461101,-0.129816894,0.037602942,2.20E-05,4143.881894,607.644315,0.251819891,0.300290821
TI,25.3952,30000,11,b,8,3964.378601,3964.378601,2477.650395,743.364103,0.375021751,36.5,-0.036726802,-0.036726802,-0.131470735,0.047371967,2.73E-05,3982.837935,757.9395121,0.190712674,0.416158399
TI,25.3952,30000,11,b,7,3863.523796,3863.523796,2001.465596,931.0291,0.481958517,40,-0.034099952,-0.034099952,-0.159732517,0.062816283,3.72E-05,3851.193778,952.490428,0.140761045,0.566144185
TI,25.3952,30000,11,b,6,3725.678938,3725.678938,1359.522776,1183.078081,0.635093952,43.5,-0.044937102,-0.044937102,-0.217734804,0.086398851,5.48E-05,3712.722273,1216.642747,0.088218818,0.769788013
TI,25.3952,30000,11,b,5,3548.964084,3548.964084,477.3219644,1535.82106,0.865503862,47,-0.033205451,-0.033205451,-0.142241423,0.054517986,3.73E-05,3589.2946,1427.867708,0.041384888,0.932628376
TI,25.3952,30000,11,b,4,3493.240779,3493.240779,363.8328153,1564.703982,0.895846625,50.5,-0.012944901,-0.012944901,0.01293336,-0.012939131,-4.24E-06,3500.184879,1515.257396,0.007572709,1
TI,25.3952,30000,11,b,3,3458.349774,3458.349774,567.8554826,1445.247146,0.835801605,54,-0.000592684,-0.000592684,0.054692065,-0.027642375,-1.57E-05,3480.227514,1460.386163,0,0.957697937
TI,25.3952,30000,11,b,2,3489.091988,3489.091988,746.6772671,1371.207361,0.785996681,57.5,0.005074077,0.005074077,0.055380906,-0.025153415,-1.56E-05,3480.436692,1361.875917,7.94E-05,0.881753105
TI,25.3952,30000,11,b,1,3493.868313,3493.868313,955.5218261,1269.173244,0.726514642,61,0.001364664,0.001364664,0.059669874,-0.029152605,-1.70E-05,3491.480151,1320.190302,0.004269749,0.849616275
TI,25.3952,30000,11,c,15,6661.418592,6661.418592,6548.507573,56.45550931,0.016949996,12,0.003247581,0.003247581,0.018962438,-0.007857429,-2.36E-06,6667.101858,42.70500932,1,0
TI,25.3952,30000,11,c,14,6672.785124,6672.785124,6614.876105,28.95450932,0.008678388,15.5,-0.041406686,-0.041406686,-0.065513293,0.012053304,3.89E-06,6568.591835,75.41288473,0.97093848,0.02128966
TI,25.3952,30000,11,c,13,6371.57179,6371.57179,6089.914519,140.8286356,0.044205304,19,-0.149521105,-0.149521105,-0.226506096,0.038492496,1.39E-05,6223.498102,156.0617076,0.869132104,0.073784234
TI,25.3952,30000,11,c,12,5626.137392,5626.137392,5029.333436,298.401978,0.106077032,22.5,-0.191110176,-0.191110176,-0.264948138,0.036918981,1.63E-05,5677.169914,279.4973724,0.707959392,0.154128899
TI,25.3952,30000,11,c,11,5033.800561,5033.800561,4235.277553,399.2615037,0.15863223,26,-0.135213583,-0.135213583,-0.204307861,0.034547139,1.78E-05,5113.193422,412.6318107,0.54158024,0.240786527
