"StimType","recording_time","Fs","type","elect","contact","amp","env_max","env_min","env_amp","mod_ratio","depth","location"
"TI",25.3952,30000,"11","c",15,6661.41859182809,6661.41859182809,6548.50757319855,56.4555093147715,0.0169499960215767,12,"Post"
"TI",25.3952,30000,"11","c",14,6672.78512406232,6672.78512406232,6614.87610541565,28.9545093233314,0.00867838804487211,15.5,"Post"
"TI",25.3952,30000,"11","c",13,6371.57179039634,6371.57179039634,6089.91451927463,140.828635560855,0.0442053044974306,19,"Post"
"TI",25.3952,30000,"11","c",12,5626.13739191099,5626.13739191099,5029.33343595995,298.401977975519,0.106077031963189,22.5,"Post"
"TI",25.3952,30000,"11","c",11,5033.80056082942,5033.80056082942,4235.27755343852,399.261503695446,0.158632229811528,26,"Post"
"TI",25.3952,30000,"11","c",10,4679.64231185778,4679.64231185778,3599.17841095498,540.231950451401,0.230886001300785,29.5,"Post"
"TI",25.3952,30000,"11","c",9,4297.3585402922,4297.3585402922,2873.29518690069,712.031676695756,0.3313810891131,33,"Post"
"TI",25.3952,30000,"11","c",8,3970.46388140266,3970.46388140266,2098.1778107292,936.143035336728,0.471553482564871,36.5,"Post"
"TI",25.3952,30000,"11","c",7,3765.71645536587,3765.71645536587,1465.14009670029,1150.28817933279,0.61092660213103,40,"Post"
"TI",25.3952,30000,"11","c",6,3518.19248068014,3518.19248068014,710.512909888685,1403.83978539573,0.798046038188528,43.5,"Post"
"TI",25.3952,30000,"11","c",5,3385.62528477374,3385.62528477374,257.837990616988,1563.89364707838,0.923843317281281,47,"Post"
"TI",25.3952,30000,"11","c",4,3367.66845427244,3367.66845427244,149.215550625768,1609.22645182334,0.955691733716701,50.5,"Post"
"TI",25.3952,30000,"11","c",3,3363.5830650467,3363.5830650467,235.632225843807,1563.97541960144,0.929946066059012,54,"Post"
"TI",25.3952,30000,"11","c",2,3323.3554735134,3323.3554735134,370.520367974042,1476.41755276968,0.888510160611157,57.5,"Post"
"TI",25.3952,30000,"11","c",1,3231.43525676667,3231.43525676667,728.471173400838,1251.48204168292,0.774567300435493,61,"Post"
"TI",25.3952,30000,"11","a",15,7139.71810948392,7139.71810948392,7046.20659453129,46.7557574763132,0.0130973679238697,12,"Ant"
"TI",25.3952,30000,"11","a",14,7118.99354552131,7118.99354552131,6993.20654895945,62.8934982809342,0.017669210648604,15.5,"Ant"
"TI",25.3952,30000,"11","a",13,6308.4326934586,6308.4326934586,3402.7844062765,1452.82414359105,0.460597493604878,19,"Ant"
"TI",25.3952,30000,"11","a",12,5756.91553705659,5756.91553705659,3389.15255838767,1183.88148933446,0.411290206262,22.5,"Ant"
"TI",25.3952,30000,"11","a",11,5297.00050388071,5297.00050388071,3330.93927766791,983.030613106399,0.37116500645458,26,"Ant"
"TI",25.3952,30000,"11","a",10,4943.28015516909,4943.28015516909,3684.49705567342,629.391549747831,0.254645308374719,29.5,"Ant"
"TI",25.3952,30000,"11","a",9,4157.20633019894,4157.20633019894,3058.185528294,549.510400952469,0.264365228620333,33,"Ant"
"TI",25.3952,30000,"11","a",8,3796.10235162753,3796.10235162753,2833.09189514595,481.50522824079,0.253684007247249,36.5,"Ant"
"TI",25.3952,30000,"11","a",7,3673.94563478261,3673.94563478261,2478.1487107846,597.898461999003,0.325480299076,40,"Ant"
"TI",25.3952,30000,"11","a",6,3635.36552080982,3635.36552080982,2265.5666462663,684.89943727176,0.376798114715678,43.5,"Ant"
"TI",25.3952,30000,"11","a",5,3509.39410129163,3509.39410129163,1683.37392566065,913.010087815489,0.520323486883081,47,"Ant"
"TI",25.3952,30000,"11","a",4,3355.92198121442,3355.92198121442,998.132590400495,1178.89469540696,0.702575746400607,50.5,"Ant"
"TI",25.3952,30000,"11","a",3,3248.4946822539,3248.4946822539,483.974781856091,1382.25995019891,0.851015676737911,54,"Ant"
"TI",25.3952,30000,"11","a",2,3209.55796404184,3209.55796404184,225.145873757596,1492.20604514212,0.929851438646689,57.5,"Ant"
"TI",25.3952,30000,"11","a",1,3164.73980624213,3164.73980624213,241.409403750983,1461.66520124557,0.923719035835165,61,"Ant"
"TI",25.8389333333333,30000,"13","c",15,6328.53526315663,6328.53526315663,6227.26233265953,50.6364652485499,0.0160025861097258,12,"Post"
"TI",25.8389333333333,30000,"13","c",14,6950.96222797758,6950.96222797758,6921.39102151554,14.7856032310201,0.00425426084794653,15.5,"Post"
"TI",25.8389333333333,30000,"13","c",13,6926.869196886,6926.869196886,6902.81667910398,12.0262588910118,0.00347235050906354,19,"Post"
"TI",25.8389333333333,30000,"13","c",12,6645.14199842445,6645.14199842445,6592.59990398593,26.2710472192607,0.00790684299161388,22.5,"Post"
"TI",25.8389333333333,30000,"13","c",11,6487.14557805278,6487.14557805278,6303.49573160096,91.8249232259118,0.0283098081031425,26,"Post"
"TI",25.8389333333333,30000,"13","c",10,6298.64090515189,6298.64090515189,5762.97663368136,267.832135735269,0.0850444214135779,29.5,"Post"
"TI",25.8389333333333,30000,"13","c",9,5827.51447598827,5827.51447598827,5040.48880445471,393.512835766779,0.135053404805157,33,"Post"
"TI",25.8389333333333,30000,"13","c",8,5183.29397592232,5183.29397592232,4219.38025165786,481.956862132227,0.18596547460786,36.5,"Post"
"TI",25.8389333333333,30000,"13","c",7,4635.22323627311,4635.22323627311,3460.39657450434,587.413330884387,0.253456328181806,40,"Post"
"TI",25.8389333333333,30000,"13","c",6,3994.55042904941,3994.55042904941,2553.66794905079,720.441239999313,0.360712051478973,43.5,"Post"
"TI",25.8389333333333,30000,"13","c",5,3605.41349362962,3605.41349362962,1985.10888203039,810.152305799611,0.449408816620376,47,"Post"
"TI",25.8389333333333,30000,"13","c",4,3490.19849838199,3490.19849838199,1790.75913820755,849.719680087221,0.486917681318779,50.5,"Post"
"TI",25.8389333333333,30000,"13","c",3,3395.7156853808,3395.7156853808,1607.07878984304,894.31844776888,0.526733407993543,54,"Post"
"TI",25.8389333333333,30000,"13","c",2,3262.06556530025,3262.06556530025,1426.28624791192,917.889658694164,0.562765916453723,57.5,"Post"
"TI",25.8389333333333,30000,"13","c",1,2977.40443902178,2977.40443902178,999.113355455801,989.14554178299,0.664434786768822,61,"Post"
"TI",25.8389333333333,30000,"13","a",15,7129.90639136199,7129.90639136199,7092.33863996835,18.7838756968158,0.00526903851629043,12,"Ant"
"TI",25.8389333333333,30000,"13","a",14,7117.66876264676,7117.66876264676,7076.2321961644,20.7182832411804,0.00582164861335193,15.5,"Ant"
"TI",25.8389333333333,30000,"13","a",13,6864.56206228295,6864.56206228295,6406.2121208758,229.174970703574,0.0667704563304239,19,"Ant"
"TI",25.8389333333333,30000,"13","a",12,6605.69766115446,6605.69766115446,6284.87827705577,160.409692049344,0.0485670705132786,22.5,"Ant"
"TI",25.8389333333333,30000,"13","a",11,6542.12430341264,6542.12430341264,6012.25046391075,264.936919750945,0.0809941564738363,26,"Ant"
"TI",25.8389333333333,30000,"13","a",10,6379.35328397555,6379.35328397555,6203.70785508528,87.8227144451312,0.0275334224444773,29.5,"Ant"
"TI",25.8389333333333,30000,"13","a",9,6000.40990381406,6000.40990381406,5306.66445764978,346.872723082145,0.11561634243076,33,"Ant"
"TI",25.8389333333333,30000,"13","a",8,5643.24218634468,5643.24218634468,4889.97712048351,376.632532930584,0.133480903528098,36.5,"Ant"
"TI",25.8389333333333,30000,"13","a",7,5355.84350504391,5355.84350504391,4446.02215273935,454.910676152282,0.169874521435836,40,"Ant"
"TI",25.8389333333333,30000,"13","a",6,5135.0783384884,5135.0783384884,4203.32297106997,465.877683709217,0.181449104765306,43.5,"Ant"
"TI",25.8389333333333,30000,"13","a",5,4699.68432161313,4699.68432161313,3472.01894258673,613.832689513201,0.261222944992402,47,"Ant"
"TI",25.8389333333333,30000,"13","a",4,4181.48130257383,4181.48130257383,2606.49452937636,787.493386598736,0.376657614665889,50.5,"Ant"
"TI",25.8389333333333,30000,"13","a",3,3682.29664316476,3682.29664316476,1864.79659239684,908.75002538396,0.493577847439762,54,"Ant"
"TI",25.8389333333333,30000,"13","a",2,3399.87715375333,3399.87715375333,1402.62347047405,998.626841639643,0.587448779163799,57.5,"Ant"
"TI",25.8389333333333,30000,"13","a",1,3225.5409144373,3225.5409144373,1113.81034877731,1055.86528282999,0.654690367190206,61,"Ant"
