Stim,StimType,Region,ROI,Ratio,VolBrain,Mean,Std,Median,Min,Max,MeanTEf,StdTEf,MedianTEf
TI,TI,Cortex,Ant,1,48103,0.176357865,0.10080208,0.183387254,0,0.528189609,0.316639789,0.170516006,0.303268178
TI,TI,Cortex,Mid,1,43247,0.142543134,0.106483408,0.121271907,0,0.684754785,0.233205797,0.107761925,0.225376399
TI,TI,Cortex,Post,1,42656,0.120541535,0.089162182,0.101537776,0,0.663586888,0.22836733,0.128722054,0.210982267
TI,TI,Hippocampus,Ant,1,22651,0.271610217,0.039994115,0.270754814,0.119091623,0.461311966,0.319631033,0.045403141,0.319062993
TI,TI,Hippocampus,Mid,1,17718,0.25839472,0.03776308,0.249795698,0.159061953,0.545393288,0.275975597,0.04257931,0.264475957
TI,TI,Hippocampus,Post,1,9980,0.239214119,0.031388064,0.243911162,0.120995894,0.564415097,0.270741052,0.031251101,0.272510838
TI,TIst,Cortex,Ant,1.5,48103,0.188867471,0.124828539,0.177477619,0,0.697691871,0.252092949,0.123346852,0.247777644
TI,TIst,Cortex,Mid,1.5,43247,0.108949319,0.078508914,0.095492885,0,0.427892985,0.219445829,0.105102465,0.213580609
TI,TIst,Cortex,Post,1.5,42656,0.070432068,0.050215065,0.06248601,0,0.331793444,0.267775047,0.174394636,0.233513479
TI,TIst,Hippocampus,Ant,1.5,22651,0.183825925,0.025916142,0.183728755,0.088567987,0.324501038,0.295620625,0.042545084,0.294848152
TI,TIst,Hippocampus,Mid,1.5,17718,0.14519278,0.025302867,0.137249388,0.083365813,0.373630852,0.268770616,0.040123733,0.259157706
TI,TIst,Hippocampus,Post,1.5,9980,0.11960706,0.015694032,0.121955581,0.060497947,0.282207549,0.286504518,0.032568188,0.286684273
