S_ID,Session,Run,block,trial,StimType,OrderCond,Name,NameNum,NameFreqOrder,NameFreq,RespOrder,NameFoil1,NameFoil2,NameDistractor1,NameDistractor2,DistractorNameFreq1,DistractorNameFreq2,Accuracy,Foil,Distractor,RT,RTonset,rpress,lpress,Confidence
1,1,1,1,1,2,3,MAISIE,73,135,335,13,HARRIET,KERRY,SASHA,ELOISE,333,351,1,NaN,NaN,4.51358675735537,1.1878765336005,0,1,4
1,1,1,1,2,2,1,STEPHEN,37,60,1122,16,ROBBIE,LOUIS,RICHARD,HENRY,1089,1135,0,1,0,4.30681609234307,1.4868807363091,1,0,3
1,1,1,1,3,2,3,SOPHIE,1,1,7087,6,MAISIE,CARYS,JESSICA,REBECCA,6711,5828,0,1,0,3.28724445577245,0.040669537265785,0,0,4
1,1,1,1,4,2,1,DANIEL,1,2,10338,8,OSCAR,ALFRED,JAMES,SAMUEL,9385,6161,0,1,0,4.30645285348874,1.74104341201019,1,0,3
1,1,1,1,5,2,4,CHLOE,2,2,6824,10,CARYS,CASEY,EMILY,MEGAN,6415,4948,1,NaN,NaN,4.32037821318954,0.423592742183246,1,0,2
1,1,1,1,6,2,3,HAYLEY,37,57,1088,7,KERRY,HARRIET,LYDIA,KIRSTY,1009,1202,0,1,0,3.57273010234348,0.03392693400383,0,0,1
1,1,1,1,7,2,2,THOMAS,2,3,9603,15,ALFRED,DOUGLAS,JOSHUA,JORDAN,7887,5750,1,NaN,NaN,3.53944522095844,0.391922756680287,1,0,3
1,1,1,1,8,2,4,HARRIET,38,60,1046,4,SOPHIE,MAISIE,AMELIA,JASMINE,929,1145,0,1,0,6.32027365802787,0.490065761492588,1,0,2
1,1,1,1,9,2,3,CARYS,109,199,217,1,CASEY,CHLOE,ELENA,KIRSTEN,213,225,0,1,0,3.98359656392131,0.970145908533596,1,0,2
1,1,1,1,10,2,1,ALFRED,109,218,142,14,DOUGLAS,THOMAS,DUNCAN,FELIX,139,149,0,1,0,3.11077945237048,1.24350466346368,0,1,3
1,1,1,1,11,2,2,LOUIS,38,61,1100,2,DANIEL,OSCAR,ANTHONY,PETER,1045,1128,0,0,1,2.72910369827878,0.040769285405986,0,0,1
1,1,1,1,12,2,4,CASEY,110,201,215,11,HAYLEY,SOPHIE,VANESSA,KIERA,213,221,0,1,0,4.10142627602909,0.0353134911274537,0,0,3
1,1,1,1,13,2,2,ROBBIE,74,130,302,5,THOMAS,STEPHEN,TOBIAS,GRANT,296,307,0,0,1,4.4259608554421,1.06956070032902,1,0,3
1,1,1,1,14,2,1,OSCAR,73,128,307,9,LOUIS,ROBBIE,LLOYD,MASON,299,320,0,0,1,6.5609192798147,2.54592102847528,3,0,2
1,1,1,1,15,2,4,KERRY,74,136,333,12,CHLOE,HAYLEY,SIOBHAN,TIFFANY,332,346,1,NaN,NaN,4.41913202428259,1.73493865504861,1,0,2
1,1,1,1,16,2,2,DOUGLAS,110,218,142,3,STEPHEN,DANIEL,JAMAL,CALVIN,139,147,0,1,0,4.62227510730736,1.81157094670925,2,0,3
1,1,1,2,1,0,2,JOSEPH,6,8,6193,3,TYLER,DAMON,JORDAN,JOSHUA,5750,7887,0,0,1,6.72636273177341,2.7156428276794,1,0,2
1,1,1,2,2,0,3,ELLEN,41,63,929,8,MILLIE,POLLY,CAITLIN,LYDIA,906,1009,0,0,1,5.11406332440674,1.30678664857987,1,0,2
1,1,1,2,3,0,1,PATRICK,41,66,1039,2,CIARAN,PERRY,JASON,RICHARD,1001,1089,1,NaN,NaN,3.88079604902305,1.14468926098198,3,0,3
1,1,1,2,4,0,4,PHOEBE,42,65,910,1,SUMMER,AISHA,ROSIE,AMELIA,879,929,1,NaN,NaN,3.87741573399398,0.72712676518131,1,0,4
1,1,1,2,5,0,4,HANNAH,6,6,5916,10,PHOEBE,SUMMER,MEGAN,EMILY,4948,6415,0,0,1,4.54661325539928,0.8340220550308,0,1,2
1,1,1,2,6,0,2,TYLER,42,67,1007,13,DAMON,MORGAN,ELLIOT,ANTHONY,919,1045,1,NaN,NaN,5.78529306082055,2.30782108334824,3,0,2
1,1,1,2,7,0,1,MATTHEW,5,6,7426,14,JOSEPH,PATRICK,SAMUEL,JAMES,6161,9385,1,NaN,NaN,4.90132760966662,0.49773073324468,0,1,1
1,1,1,2,8,0,3,LAUREN,5,5,6299,12,HANNAH,ELLEN,REBECCA,JESSICA,5828,6711,0,1,0,5.91804621333722,2.76113812450785,3,0,2
1,1,1,2,9,0,3,POLLY,113,204,212,9,LAUREN,HANNAH,DEANNA,ELENA,202,213,0,1,0,5.72824622609187,3.17456858989317,2,1,2
1,1,1,2,10,0,1,MORGAN,77,133,294,15,PERRY,MATTHEW,FRASER,LLOYD,278,299,1,NaN,NaN,3.34520704916213,1.99468421353959,3,0,2
1,1,1,2,11,0,1,PERRY,113,220,139,16,MATTHEW,JOSEPH,REGAN,DUNCAN,136,139,0,1,0,4.22994344402105,0.397429626667872,1,0,1
1,1,1,2,12,0,2,DAMON,114,226,136,6,PATRICK,CIARAN,WARREN,JAMAL,136,139,0,1,0,5.36500702437479,0.513102739234455,0,1,2
1,1,1,2,13,0,3,AISHA,77,139,328,4,POLLY,LAUREN,SHAUNA,SASHA,316,333,1,NaN,NaN,2.45950502157211,0.733789149555378,0,1,4
1,1,1,2,14,0,2,CIARAN,78,136,278,11,MORGAN,TYLER,KEVIN,TOBIAS,250,296,0,0,1,3.75480322598014,0.697886484442279,2,0,2
1,1,1,2,15,0,4,MILLIE,78,140,324,5,AISHA,PHOEBE,SALLY,SIOBHAN,309,332,0,0,1,4.90392225910909,1.19952000794001,1,0,3
1,1,1,2,16,0,4,SUMMER,114,206,203,7,ELLEN,MILLIE,SINEAD,VANESSA,202,213,0,1,0,4.61014130571857,0.0326803845819086,0,0,3
1,1,1,3,1,1,1,CONNOR,9,13,5009,10,JEROME,ARTHUR,GEORGE,SAMUEL,4287,6161,0,1,0,3.61015783017501,0.0370434577343985,0,0,2
1,1,1,3,2,1,3,HELENA,81,145,308,3,AIMEE,SHELBY,CLAUDIA,SHAUNA,290,316,1,NaN,NaN,5.75343169120606,2.63595199841075,1,1,2
1,1,1,3,3,1,3,AIMEE,45,70,876,5,DAISY,KATIE,BETHAN,CAITLIN,825,906,1,NaN,NaN,2.9767776473891,0.0358882438158616,0,0,3
1,1,1,3,4,1,2,HARRY,10,17,4434,15,TRISTAN,ANGUS,CALLUM,JORDAN,4281,5750,1,NaN,NaN,4.64434555103071,1.11604476405773,2,0,3
1,1,1,3,5,1,3,SHANNON,9,11,4649,1,SHELBY,EBONY,BETHANY,REBECCA,4271,5828,0,0,1,7.48649015673436,2.90093252353836,3,0,2
1,1,1,3,6,1,1,BILLY,45,71,914,12,SHANE,HARRY,SHAUN,JASON,773,1001,1,NaN,NaN,5.45119919907302,2.00470768439118,2,0,2
1,1,1,3,7,1,4,KATIE,10,12,4337,7,HELENA,APRIL,GEORGIA,MEGAN,3723,4948,1,NaN,NaN,6.13212071429007,2.64357821270823,2,0,2
1,1,1,3,8,1,2,SHANE,46,74,846,8,ARTHUR,CONNOR,CURTIS,ELLIOT,757,919,0,1,0,4.73153851053212,1.98922661668621,2,0,2
1,1,1,3,9,1,2,ARTHUR,118,234,129,11,HARRY,SHANE,BOBBY,WARREN,126,136,0,1,0,4.8934345995076,3.7940213100519,1,2,2
1,1,1,3,10,1,3,SHELBY,117,209,201,14,APRIL,AIMEE,MATILDA,DEANNA,200,202,0,0,1,4.9056329971645,0.0822794699342921,1,0,2
1,1,1,3,11,1,4,DAISY,46,71,828,6,EBONY,SHANNON,KELLY,ROSIE,789,879,0,0,1,3.54316413833294,0.747019277769141,0,1,3
1,1,1,3,12,1,4,APRIL,82,146,300,9,SHANNON,HELENA,JENNA,SALLY,289,309,0,0,1,4.41225391987246,2.7890897935722,2,0,2
1,1,1,3,13,1,1,TRISTAN,81,141,250,2,BILLY,JEROME,TOMMY,FRASER,247,278,0,0,1,4.81712378491648,0.0449388712877408,0,0,2
1,1,1,3,14,1,1,JEROME,117,230,135,4,ANGUS,BILLY,SONNY,REGAN,127,136,0,1,0,4.5647929267725,1.03103424236178,3,0,3
1,1,1,3,15,1,2,ANGUS,82,144,247,16,CONNOR,TRISTAN,RICKY,KEVIN,242,250,0,0,1,8.05682570661884,5.28360395482741,4,1,2
1,1,1,3,16,1,4,EBONY,118,211,200,13,KATIE,DAISY,SHANICE,SINEAD,200,202,0,1,0,3.79269364033826,0.672959703020751,2,0,2
1,1,1,4,1,2,3,NADIA,85,153,285,12,NAOMI,JOSIE,FIONA,CLAUDIA,278,290,1,NaN,NaN,4.95251184655353,0.662909492501058,0,1,2
1,1,1,4,2,2,2,MICHAEL,14,22,4187,3,SPENCER,TIMOTHY,LEWIS,CALLUM,3569,4281,1,NaN,NaN,6.12511882628314,2.24115307466127,2,0,2
1,1,1,4,3,2,3,NAOMI,49,75,766,2,SARAH,NADIA,ROBYN,BETHAN,683,825,1,NaN,NaN,2.36812264670152,0.0428955397801474,0,0,4
1,1,1,4,4,2,3,LAURA,13,17,3582,16,NIKITA,MARTHA,ABIGAIL,BETHANY,2595,4271,0,1,0,5.17392924148589,1.64659228431992,3,0,3
1,1,1,4,5,2,1,WILLIAM,13,21,4269,1,STEFAN,SPENCER,OLIVER,GEORGE,3655,4287,0,0,1,8.4317435346311,5.365056297509,2,0,2
1,1,1,4,6,2,2,TIMOTHY,50,82,691,9,FERGUS,CRAIG,DECLAN,CURTIS,680,757,0,0,1,5.93861803377513,2.98170075123198,2,0,2
1,1,1,4,7,2,4,SARAH,14,18,3111,4,MARTHA,HEATHER,ELEANOR,GEORGIA,2555,3723,1,NaN,NaN,5.09125138062518,1.28203893301543,3,0,3
1,1,1,4,8,2,4,HEATHER,50,78,713,8,JOSIE,NAOMI,YASMIN,KELLY,661,789,0,0,1,4.1041239782935,1.62850935640745,3,0,2
1,1,1,4,9,2,2,FERGUS,122,243,120,10,TIMOTHY,STEFAN,BARNABY,BOBBY,113,126,1,NaN,NaN,4.89905143273063,1.64074711245485,0,1,3
1,1,1,4,10,2,4,NIKITA,86,155,284,13,LAURA,SARAH,CIARA,JENNA,276,289,1,NaN,NaN,3.44285041291732,0.939195189974271,3,0,4
1,1,1,4,11,2,4,JOSIE,122,215,197,14,HEATHER,NIKITA,HEIDI,SHANICE,193,200,0,0,1,4.31176022754516,0.271435902337544,1,0,2
1,1,1,4,12,2,3,MARTHA,121,214,198,11,NADIA,LAURA,JESSIE,MATILDA,194,200,0,0,1,3.54427698929794,0.985420570010319,1,0,2
1,1,1,4,13,2,1,MILES,85,154,223,6,CRAIG,FERGUS,BRETT,TOMMY,214,247,0,1,0,3.65779620641842,1.15181883843616,2,0,2
1,1,1,4,14,2,1,CRAIG,49,81,705,7,MICHAEL,MILES,AIDAN,SHAUN,680,773,1,NaN,NaN,3.79115175281186,0.0387442810460925,0,0,3
1,1,1,4,15,2,2,STEFAN,86,155,222,5,WILLIAM,MICHAEL,KURTIS,RICKY,214,242,1,NaN,NaN,4.80855537275784,0.0392631507711485,0,0,2
1,1,1,4,16,2,1,SPENCER,121,239,124,15,MILES,WILLIAM,VINCENT,SONNY,117,127,1,NaN,NaN,3.57034546451177,1.28331642830744,1,0,4
1,1,1,5,1,2,3,KATHRYN,53,86,635,12,HOLLY,RHIAN,CLAIRE,ROBYN,564,683,0,1,0,2.70657116896473,0.829074014211074,2,0,3
1,1,1,5,2,2,2,NATHAN,18,27,2744,1,MARCUS,KIERAN,ROBERT,LEWIS,2644,3569,0,1,0,3.66153945995029,1.19239523762371,3,0,3
1,1,1,5,3,2,3,RHIANNA,89,158,276,8,LEANNE,LIBBY,LORNA,FIONA,274,278,1,NaN,NaN,4.72083242703229,0.809966566390358,2,0,3
1,1,1,5,4,2,1,KIERAN,17,26,2882,7,BRIAN,SIMON,ANDREW,OLIVER,2676,3655,0,1,0,4.39702402474359,0.811964230146259,0,1,2
1,1,1,5,5,2,1,MARCUS,53,85,674,9,KIERAN,BRIAN,ETHAN,AIDAN,604,680,1,NaN,NaN,4.9869447312085,0.0367081601871178,0,0,2
1,1,1,5,6,2,4,LEANNE,54,88,616,11,LIBBY,OLIVIA,IMOGEN,YASMIN,555,661,0,1,0,7.17630666855257,3.19204972498119,4,1,3
1,1,1,5,7,2,3,HOLLY,17,23,2498,6,RHIAN,LEANNE,ALICE,ABIGAIL,2357,2595,0,0,1,8.23765919124708,6.2501583348494,3,1,1
1,1,1,5,8,2,4,OLIVIA,18,24,2456,2,KATHRYN,HOLLY,RACHEL,ELEANOR,2105,2555,1,NaN,NaN,4.11146657180507,0.664585378952324,1,0,4
1,1,1,5,9,2,4,LIBBY,126,220,191,5,RHIANNA,FRANCES,ALISON,HEIDI,181,193,1,NaN,NaN,4.0598367737839,0.524384176358581,1,0,4
1,1,1,5,10,2,1,TRAVIS,89,165,205,10,SIMON,DARYL,GABRIEL,BRETT,189,214,1,NaN,NaN,6.21016930718906,2.08857891568914,2,0,1
1,1,1,5,11,2,4,FRANCES,90,161,274,15,OLIVIA,KATHRYN,SABRINA,CIARA,272,276,1,NaN,NaN,8.18635988351889,4.14178665459622,4,2,1
1,1,1,5,12,2,3,RHIAN,125,219,192,14,FRANCES,RHIANNA,JULIA,JESSIE,184,194,1,NaN,NaN,2.4353386684088,0.0458155720261857,0,0,4
1,1,1,5,13,2,1,BRIAN,125,251,113,3,LUCAS,TRAVIS,LOGAN,VINCENT,111,117,1,NaN,NaN,4.77173754980322,2.22385791561101,2,0,2
1,1,1,5,14,2,2,LUCAS,90,169,202,4,NATHAN,MARCUS,HARLEY,KURTIS,186,214,1,NaN,NaN,3.77848616207484,0.0366132193012163,0,0,3
1,1,1,5,15,2,2,DARYL,126,257,111,16,TRAVIS,LUCAS,RUSSELL,BARNABY,111,113,0,1,0,2.65340609336272,0.541069731116295,2,0,2
1,1,1,5,16,2,2,SIMON,54,87,656,13,DARYL,NATHAN,ZACHARY,DECLAN,574,680,1,NaN,NaN,4.10080074798316,1.30795357993338,2,0,3
1,1,1,6,1,1,2,PHILIP,58,103,481,16,BRADLEY,DAVID,NIALL,ZACHARY,462,574,1,NaN,NaN,3.58906774094794,0.629905227455311,1,0,4
1,1,1,6,2,1,2,DAVID,22,32,2517,12,PHILIP,JUSTIN,JACOB,ROBERT,2249,2644,1,NaN,NaN,6.10661136859562,4.9739901117282,3,1,2
1,1,1,6,3,1,4,MOLLY,22,29,2026,5,ISOBEL,AMANDA,NATASHA,RACHEL,1751,2105,1,NaN,NaN,3.56296140956692,0.715229113935493,2,0,3
1,1,1,6,4,1,4,ISOBEL,58,94,522,2,PAIGE,MOLLY,STACEY,IMOGEN,509,555,0,1,0,5.12934729969129,2.2994945300743,0,1,2
1,1,1,6,5,1,3,PAIGE,21,28,2052,10,MOLLY,POPPY,ELLIE,ALICE,1900,2357,0,1,0,5.44968975975644,4.02498807222582,5,2,2
1,1,1,6,6,1,3,BROOKE,93,166,269,11,JEMIMA,MARYAM,CHARLEY,LORNA,256,274,0,1,0,4.49542150727939,0.0331073181005195,0,0,2
1,1,1,6,7,1,1,BRADLEY,21,31,2557,1,DAVID,COREY,AARON,ANDREW,2511,2676,1,NaN,NaN,3.53800698718987,0.0356367707718164,0,0,2
1,1,1,6,8,1,3,POPPY,57,92,537,6,MARYAM,JEMIMA,MARIA,CLAIRE,511,564,0,1,0,5.05113676644396,1.35457945405506,2,0,1
1,1,1,6,9,1,2,JUSTIN,94,181,182,15,WESLEY,BRADLEY,GAVIN,HARLEY,176,186,0,1,0,4.50516015558969,1.12839158170391,3,0,1
1,1,1,6,10,1,4,MARYAM,130,229,176,4,POPPY,ISOBEL,ALANA,ALISON,170,181,1,NaN,NaN,4.88768016232643,2.51614355051424,3,0,1
1,1,1,6,11,1,1,COREY,57,101,527,14,JEREMY,ALBERT,ISAAC,ETHAN,480,604,0,1,0,8.63055388978682,5.11660179041792,5,6,2
1,1,1,6,12,1,1,WESLEY,93,178,185,7,ALBERT,JEREMY,CALEB,GABRIEL,177,189,0,1,0,4.4025612398982,1.21221954887733,3,0,2
1,1,1,6,13,1,4,AMANDA,94,170,264,9,BROOKE,PAIGE,ELISE,SABRINA,253,272,1,NaN,NaN,5.35990966204554,0.549301944323815,0,1,2
1,1,1,6,14,1,1,ALBERT,129,261,110,8,JUSTIN,WESLEY,STANLEY,LOGAN,108,111,0,0,1,6.09633522294462,4.53027591737919,4,3,2
1,1,1,6,15,1,3,JEMIMA,129,228,177,13,AMANDA,BROOKE,SASKIA,JULIA,171,184,1,NaN,NaN,4.97795629594475,1.89412983099464,2,0,2
1,1,1,6,16,1,2,JEREMY,130,265,108,3,COREY,PHILIP,USMAN,RUSSELL,106,111,1,NaN,NaN,2.42990841215942,0.040704088518396,0,0,4
1,1,1,7,1,1,4,NICOLE,26,36,1679,5,KATRINA,CHELSEA,GRACE,NATASHA,1421,1751,0,1,0,8.10514459258411,3.5505827445304,1,0,1
1,1,1,7,2,1,3,ALICIA,61,98,504,10,KELSEY,TANYA,TAMARA,MARIA,397,511,0,1,0,6.53039459348656,3.84347678220365,3,0,3
1,1,1,7,3,1,2,MARTIN,62,109,435,16,GLENN,FRANCIS,HARVEY,NIALL,401,462,0,1,0,4.76404313440435,0.443624661536887,0,1,3
1,1,1,7,4,1,3,MADISON,133,235,169,14,INDIA,NICOLE,MELANIE,SASKIA,166,171,0,1,0,4.75365582376253,2.48989030125085,1,1,2
1,1,1,7,5,1,4,KELSEY,62,107,438,12,TANYA,KATRINA,FREYA,STACEY,394,509,1,NaN,NaN,6.10691902495455,0.0441964698256925,0,0,3
1,1,1,7,6,1,2,ASHLEY,26,40,1874,4,FRANCIS,CHARLIE,CAMERON,JACOB,1791,2249,0,0,1,5.32021627284121,2.14871283026878,3,0,2
1,1,1,7,7,1,3,KATRINA,97,177,251,3,NICOLE,INDIA,BILLIE,CHARLEY,242,256,1,NaN,NaN,3.40534847497474,1.38301814568695,3,0,3
