ID,StimType,Region,ROI,Ratio,VolBrain,Mean,Std,Median,Min,Max,MeanTEf,StdTEf,MedianTEf
1,TI 1:1,Electrode,Ant,1,20714,0.148291286,0.078580302,0.160388009,0,0.418069006,0.277764853,0.139362272,0.283963422
1,TI 1:1,Electrode,Mid,1,21233,0.141871675,0.094967935,0.125731151,0,0.518781222,0.240738349,0.103339864,0.234073252
1,TI 1:1,Electrode,Post,1,19240,0.095612253,0.063420335,0.090610739,0,0.366124987,0.191391343,0.108626085,0.169077668
1,TI 1:1,Hippocampus,Ant,1,14766,0.15774716,0.018929983,0.155173659,0.064467058,0.26265347,0.203073738,0.025204682,0.205245595
1,TI 1:1,Hippocampus,Mid,1,16061,0.202387735,0.02408176,0.20603621,0.062210847,0.316379905,0.218033077,0.022359872,0.219883204
1,TI 1:1,Hippocampus,Post,1,17396,0.157897873,0.030949526,0.159228854,0.077448815,0.262182802,0.189319184,0.02970266,0.194522172
1,TI 1:3,Electrode,Ant,1.5,20714,0.173649314,0.103006095,0.180559384,0,0.590285332,0.216187698,0.100947388,0.22460746
1,TI 1:3,Electrode,Mid,1.5,21233,0.118411927,0.080636226,0.104964723,0,0.452866573,0.212435926,0.09329041,0.206533881
1,TI 1:3,Electrode,Post,1.5,19240,0.054285394,0.033380681,0.053137761,0,0.19729731,0.229895077,0.156939987,0.193641464
1,TI 1:3,Hippocampus,Ant,1.5,14766,0.124200158,0.017071272,0.125348106,0.046648748,0.211694866,0.180410449,0.021566686,0.18064836
1,TI 1:3,Hippocampus,Mid,1.5,16061,0.113918935,0.012939637,0.113566108,0.038927309,0.190496713,0.213130681,0.02457044,0.216564313
1,TI 1:3,Hippocampus,Post,1.5,17396,0.078948937,0.015474763,0.079614427,0.038724408,0.131091401,0.205029839,0.029710055,0.211814089
10,TI 1:1,Electrode,Ant,1,20114,0.160119305,0.094107161,0.164679511,0,0.462913119,0.41100592,0.209574307,0.41837073
10,TI 1:1,Electrode,Mid,1,17162,0.163475794,0.140170418,0.121174533,0,0.76601343,0.274141083,0.155307037,0.247823488
10,TI 1:1,Electrode,Post,1,22455,0.10298577,0.069513824,0.094725079,0,0.454396473,0.18618385,0.111567405,0.162418469
10,TI 1:1,Hippocampus,Ant,1,9488,0.233515637,0.026469096,0.230911098,0.118532479,0.332615763,0.3010142,0.033724663,0.303921845
10,TI 1:1,Hippocampus,Mid,1,7539,0.279675718,0.031593389,0.283832848,0.129064545,0.429840744,0.30329485,0.032078277,0.307649463
10,TI 1:1,Hippocampus,Post,1,7833,0.21837267,0.031840313,0.215465263,0.109417163,0.347365171,0.26859625,0.027291378,0.267167524
