S_ID,ID,StimType,TaskStage,region,ROI,hemisphere,BOLD
TIDES_P2T_S1,1,TI 1:1,Encode,RH_ant_elect,Ant,R,0
TIDES_P2T_S1,1,TI 1:3,Encode,RH_ant_elect,Ant,R,0.06301
TIDES_P2T_S1,1,Sham,Encode,RH_ant_elect,Ant,R,0.5223
TIDES_P2T_S1,1,TI 1:1,Recall,RH_ant_elect,Ant,R,0
TIDES_P2T_S1,1,TI 1:3,Recall,RH_ant_elect,Ant,R,0
TIDES_P2T_S1,1,Sham,Recall,RH_ant_elect,Ant,R,-0.1149
TIDES_P2T_S5,5,TI 1:1,Encode,RH_ant_elect,Ant,R,-0.196
TIDES_P2T_S5,5,TI 1:3,Encode,RH_ant_elect,Ant,R,-0.0271
TIDES_P2T_S5,5,Sham,Encode,RH_ant_elect,Ant,R,0.04745
TIDES_P2T_S5,5,TI 1:1,Recall,RH_ant_elect,Ant,R,-0.1202
TIDES_P2T_S5,5,TI 1:3,Recall,RH_ant_elect,Ant,R,0.1207
TIDES_P2T_S5,5,Sham,Recall,RH_ant_elect,Ant,R,-0.1378
TIDES_P2T_S6,6,TI 1:1,Encode,RH_ant_elect,Ant,R,-0.01598
TIDES_P2T_S6,6,TI 1:3,Encode,RH_ant_elect,Ant,R,-0.2494
TIDES_P2T_S6,6,Sham,Encode,RH_ant_elect,Ant,R,0.3701
TIDES_P2T_S6,6,TI 1:1,Recall,RH_ant_elect,Ant,R,0.2142
TIDES_P2T_S6,6,TI 1:3,Recall,RH_ant_elect,Ant,R,-0.2109
TIDES_P2T_S6,6,Sham,Recall,RH_ant_elect,Ant,R,-0.1753
TIDES_P2T_S8,8,TI 1:1,Encode,RH_ant_elect,Ant,R,-0.08739
TIDES_P2T_S8,8,TI 1:3,Encode,RH_ant_elect,Ant,R,-0.02055
TIDES_P2T_S8,8,Sham,Encode,RH_ant_elect,Ant,R,-0.04188
TIDES_P2T_S8,8,TI 1:1,Recall,RH_ant_elect,Ant,R,-0.0786
TIDES_P2T_S8,8,TI 1:3,Recall,RH_ant_elect,Ant,R,0.0786
TIDES_P2T_S8,8,Sham,Recall,RH_ant_elect,Ant,R,-0.05659
TIDES_P2T_S9,9,TI 1:1,Encode,RH_ant_elect,Ant,R,-0.3137
TIDES_P2T_S9,9,TI 1:3,Encode,RH_ant_elect,Ant,R,-0.2153
TIDES_P2T_S9,9,Sham,Encode,RH_ant_elect,Ant,R,0.1794
TIDES_P2T_S9,9,TI 1:1,Recall,RH_ant_elect,Ant,R,-0.0718
TIDES_P2T_S9,9,TI 1:3,Recall,RH_ant_elect,Ant,R,0.0718
TIDES_P2T_S9,9,Sham,Recall,RH_ant_elect,Ant,R,-0.4005
TIDES_P2T_S10,10,TI 1:1,Encode,RH_ant_elect,Ant,R,-0.668
TIDES_P2T_S10,10,TI 1:3,Encode,RH_ant_elect,Ant,R,-0.6608
TIDES_P2T_S10,10,Sham,Encode,RH_ant_elect,Ant,R,-0.6435
TIDES_P2T_S10,10,TI 1:1,Recall,RH_ant_elect,Ant,R,-0.0498
TIDES_P2T_S10,10,TI 1:3,Recall,RH_ant_elect,Ant,R,0.0498
TIDES_P2T_S10,10,Sham,Recall,RH_ant_elect,Ant,R,0
TIDES_P2T_S11,11,TI 1:1,Encode,RH_ant_elect,Ant,R,0.1106
TIDES_P2T_S11,11,TI 1:3,Encode,RH_ant_elect,Ant,R,0.15
TIDES_P2T_S11,11,Sham,Encode,RH_ant_elect,Ant,R,-0.08407
TIDES_P2T_S11,11,TI 1:1,Recall,RH_ant_elect,Ant,R,-0.03195
TIDES_P2T_S11,11,TI 1:3,Recall,RH_ant_elect,Ant,R,0.04125
TIDES_P2T_S11,11,Sham,Recall,RH_ant_elect,Ant,R,0.1737
TIDES_P2T_S12,12,TI 1:1,Encode,RH_ant_elect,Ant,R,0.3189
TIDES_P2T_S12,12,TI 1:3,Encode,RH_ant_elect,Ant,R,0.3057
TIDES_P2T_S12,12,Sham,Encode,RH_ant_elect,Ant,R,0.5584
TIDES_P2T_S12,12,TI 1:1,Recall,RH_ant_elect,Ant,R,0.003767
TIDES_P2T_S12,12,TI 1:3,Recall,RH_ant_elect,Ant,R,-0.003767
TIDES_P2T_S12,12,Sham,Recall,RH_ant_elect,Ant,R,-0.1895
TIDES_P2T_S13,13,TI 1:1,Encode,RH_ant_elect,Ant,R,0.3084
TIDES_P2T_S13,13,TI 1:3,Encode,RH_ant_elect,Ant,R,0.2786
TIDES_P2T_S13,13,Sham,Encode,RH_ant_elect,Ant,R,0.06122
TIDES_P2T_S13,13,TI 1:1,Recall,RH_ant_elect,Ant,R,0.004486
TIDES_P2T_S13,13,TI 1:3,Recall,RH_ant_elect,Ant,R,-0.004486
TIDES_P2T_S13,13,Sham,Recall,RH_ant_elect,Ant,R,0.1661
TIDES_P2T_S14,14,TI 1:1,Encode,RH_ant_elect,Ant,R,0.2543
