S_ID,ID,mask,region,ROI,hemisphere,tSNR
TIDES_P2T_S1,1,Ant_Elect_LH,Cortical,Ant,L,178.1738532
TIDES_P2T_S1,1,Ant_Elect_RH,Cortical,Ant,R,180.0256348
TIDES_P2T_S1,1,Mid_Elect_LH,Cortical,Mid,L,166.6601403
TIDES_P2T_S1,1,Mid_Elect_RH,Cortical,Mid,R,140.8949766
TIDES_P2T_S1,1,Post_Elect_LH,Cortical,Post,L,154.4858189
TIDES_P2T_S1,1,Post_Elect_RH,Cortical,Post,R,88.01550517
TIDES_P2T_S5,5,Ant_Elect_LH,Cortical,Ant,L,292.4064881
TIDES_P2T_S5,5,Ant_Elect_RH,Cortical,Ant,R,246.252139
TIDES_P2T_S5,5,Mid_Elect_LH,Cortical,Mid,L,224.7606637
TIDES_P2T_S5,5,Mid_Elect_RH,Cortical,Mid,R,194.6879439
TIDES_P2T_S5,5,Post_Elect_LH,Cortical,Post,L,251.1250252
TIDES_P2T_S5,5,Post_Elect_RH,Cortical,Post,R,248.968084
TIDES_P2T_S6,6,Ant_Elect_LH,Cortical,Ant,L,270.4609554
TIDES_P2T_S6,6,Ant_Elect_RH,Cortical,Ant,R,238.865805
TIDES_P2T_S6,6,Mid_Elect_LH,Cortical,Mid,L,213.8657872
TIDES_P2T_S6,6,Mid_Elect_RH,Cortical,Mid,R,231.9095832
TIDES_P2T_S6,6,Post_Elect_LH,Cortical,Post,L,220.2804692
TIDES_P2T_S6,6,Post_Elect_RH,Cortical,Post,R,241.5566275
TIDES_P2T_S8,8,Ant_Elect_LH,Cortical,Ant,L,191.106362
TIDES_P2T_S8,8,Ant_Elect_RH,Cortical,Ant,R,137.4908802
TIDES_P2T_S8,8,Mid_Elect_LH,Cortical,Mid,L,109.9913147
TIDES_P2T_S8,8,Mid_Elect_RH,Cortical,Mid,R,148.7487987
TIDES_P2T_S8,8,Post_Elect_LH,Cortical,Post,L,109.8974114
